metric_name,metric_value,unit,context
India2 Population,490,Millions,35% of India
Insurance Coverage Gap,60,percentage points,India1: 75% vs India2: 15%
Out-of-Pocket Burden,65,percent of costs,vs 35% in India1
Catastrophic Health Exp,58,percent of households,vs 2% in India1
Telemedicine Adoption India2,12,percent,Plateauing since 2022
Medical Financing Funding,150,Crores,vs 800Cr in Telemedicine
Affordable Insurance Funding,100,Crores,vs 8Cr needed for India2
Healthcare Startup Total Funding,2465,Crores,10 companies
